year,month,day,hour,flow_cfs,Source
1989,12,25,18,2430,USGS_12189500
1989,12,26,0,2410,USGS_12189500
1989,12,26,6,2390,USGS_12189500
1989,12,26,12,2370,USGS_12189500
1989,12,26,18,2330,USGS_12189500
1989,12,27,0,2320,USGS_12189500
1989,12,27,6,2300,USGS_12189500
1989,12,27,12,2280,USGS_12189500
1989,12,27,18,2260,USGS_12189500
1989,12,28,0,2260,USGS_12189500
1989,12,28,6,2240,USGS_12189500
1989,12,28,12,2210,USGS_12189500
1989,12,28,18,2170,USGS_12189500
1989,12,29,0,2160,USGS_12189500
1989,12,29,6,2120,USGS_12189500
1989,12,29,12,2110,USGS_12189500
1989,12,29,18,2090,USGS_12189500
1989,12,30,0,2090,USGS_12189500
1989,12,30,6,2090,USGS_12189500
1989,12,30,12,2070,USGS_12189500
1989,12,30,18,2060,USGS_12189500
1989,12,31,0,2040,USGS_12189500
1989,12,31,6,2020,USGS_12189500
1989,12,31,12,2010,USGS_12189500
1989,12,31,18,2040,USGS_12189500
1990,1,1,0,2230,USGS_12189500
1990,1,1,6,2440,USGS_12189500
1990,1,1,12,2540,USGS_12189500
1990,1,1,18,2660,USGS_12189500
1990,1,2,0,2560,USGS_12189500
1990,1,2,6,2430,USGS_12189500
1990,1,2,12,2280,USGS_12189500
1990,1,2,18,2210,USGS_12189500
1990,1,3,0,2170,USGS_12189500
1990,1,3,6,2140,USGS_12189500
1990,1,3,12,2110,USGS_12189500
1990,1,3,18,2190,USGS_12189500
1990,1,4,0,2260,USGS_12189500
1990,1,4,6,2300,USGS_12189500
1990,1,4,12,2620,USGS_12189500
1990,1,4,18,3220,USGS_12189500
1990,1,5,0,3110,USGS_12189500
1990,1,5,6,2930,USGS_12189500
1990,1,5,12,2830,USGS_12189500
1990,1,5,18,3420,USGS_12189500
1990,1,6,0,7380,USGS_12189500
1990,1,6,6,9370,USGS_12189500
1990,1,6,12,7800,USGS_12189500
1990,1,6,18,6480,USGS_12189500
1990,1,7,0,6330,USGS_12189500
1990,1,7,6,9620,USGS_12189500
1990,1,7,12,12900,USGS_12189500
1990,1,7,18,11900,USGS_12189500
1990,1,8,0,10900,USGS_12189500
1990,1,8,6,9950,USGS_12189500
1990,1,8,12,9330,USGS_12189500
1990,1,8,18,8690,USGS_12189500
1990,1,9,0,7900,USGS_12189500
1990,1,9,6,8040,USGS_12189500
1990,1,9,12,14100,USGS_12189500
1990,1,9,18,32500,USGS_12189500
1990,1,10,0,31800,USGS_12189500
1990,1,10,6,20600,USGS_12189500
1990,1,10,12,14900,USGS_12189500
1990,1,10,18,12400,USGS_12189500
1990,1,11,0,10900,USGS_12189500
1990,1,11,6,9770,USGS_12189500
1990,1,11,12,8870,USGS_12189500
1990,1,11,18,8170,USGS_12189500
1990,1,12,0,7770,USGS_12189500
1990,1,12,6,7380,USGS_12189500
1990,1,12,12,6960,USGS_12189500
1990,1,12,18,6630,USGS_12189500
1990,1,13,0,6360,USGS_12189500
1990,1,13,6,6180,USGS_12189500
1990,1,13,12,5980,USGS_12189500
1990,1,13,18,5830,USGS_12189500
1990,1,14,0,5720,USGS_12189500
1990,1,14,6,5580,USGS_12189500
1990,1,14,12,5380,USGS_12189500
1990,1,14,18,5220,USGS_12189500
1990,1,15,0,5030,USGS_12189500
1990,1,15,6,4870,USGS_12189500
1990,1,15,12,4690,USGS_12189500
1990,1,15,18,4530,USGS_12189500
1990,1,16,0,4380,USGS_12189500
1990,1,16,6,4200,USGS_12189500
1990,1,16,12,4010,USGS_12189500
1990,1,16,18,3860,USGS_12189500
1990,1,17,0,3720,USGS_12189500
1990,1,17,6,3630,USGS_12189500
1990,1,17,12,3530,USGS_12189500
1990,1,17,18,3440,USGS_12189500
1990,1,18,0,3400,USGS_12189500
1990,1,18,6,3300,USGS_12189500
1990,1,18,12,3240,USGS_12189500
1990,1,18,18,3170,USGS_12189500
1990,1,19,0,3130,USGS_12189500
1990,1,19,6,3060,USGS_12189500
1990,1,19,12,3000,USGS_12189500
1990,1,19,18,2930,USGS_12189500
1990,1,20,0,2890,USGS_12189500
1990,1,20,6,2850,USGS_12189500
1990,1,20,12,2810,USGS_12189500
1990,1,20,18,2760,USGS_12189500
1990,1,21,0,2700,USGS_12189500
1990,1,21,6,2660,USGS_12189500
1990,1,21,12,2620,USGS_12189500
1990,1,21,18,2600,USGS_12189500
1990,1,22,0,2620,USGS_12189500
1990,1,22,6,2930,USGS_12189500
1990,1,22,12,3560,USGS_12189500
1990,1,22,18,3650,USGS_12189500
1990,1,23,0,3630,USGS_12189500
1990,1,23,6,3650,USGS_12189500
1990,1,23,12,3510,USGS_12189500
1990,1,23,18,3400,USGS_12189500
1990,1,24,0,3220,USGS_12189500
1990,1,24,6,3080,USGS_12189500
1990,1,24,12,3020,USGS_12189500
1990,1,24,18,2930,USGS_12189500
1990,1,25,0,2950,USGS_12189500
1990,1,25,6,3000,USGS_12189500
1990,1,25,12,3170,USGS_12189500
1990,1,25,18,3560,USGS_12189500
1990,1,26,0,3670,USGS_12189500
1990,1,26,6,3420,USGS_12189500
1990,1,26,12,3260,USGS_12189500
1990,1,26,18,3110,USGS_12189500
1990,1,27,0,3000,USGS_12189500
1990,1,27,6,2930,USGS_12189500
1990,1,27,12,2950,USGS_12189500
1990,1,27,18,3040,USGS_12189500
1990,1,28,0,3150,USGS_12189500
1990,1,28,6,3240,USGS_12189500
1990,1,28,12,3420,USGS_12189500
1990,1,28,18,4150,USGS_12189500
1990,1,29,0,4770,USGS_12189500
1990,1,29,6,4740,USGS_12189500
1990,1,29,12,4400,USGS_12189500
